time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss
2523136,907.6144409179688,77,798.0,508,4962,0.03852074,0.00015,0.17674988508224487,0.93964022397995,0.2,0.4131571451822917,6.616092246025801,0.03206324096148213,456,-0.0036969562812979953,0.007512449286878109
2555904,934.9976806640625,78,798.0,519,4923,0.04067279,0.00015,0.17699861526489258,0.9391347169876099,0.2,0.4115753173828125,6.590042938788732,0.033241787280227676,462,-0.0029275362267071614,0.01104390062391758
2588672,937.4806518554688,79,800.0,529,4888,0.040369608,0.00015,0.17700372636318207,0.9331953525543213,0.2,0.4236297607421875,6.576133978863557,0.03749358365894295,468,-0.0037721235961119723,0.005087658762931824
2621440,920.9918823242188,80,800.0,540,4851,0.038653914,0.00015,0.17718636989593506,0.941895067691803,0.2,0.4095815022786458,6.5599238239228725,0.03118791032223574,474,-0.004359944852694753,0.009662325493991375
2654208,929.8311767578125,81,798.0,550,4818,0.039261136,0.00015,0.17731793224811554,0.9426065683364868,0.2,0.4145253499348958,6.540319195638101,0.03925044249141744,480,-0.0034508922005140144,0.005616765469312668
2686976,937.705078125,82,798.0,560,4791,0.04008278,0.00015,0.17712706327438354,0.9426652193069458,0.2,0.4111582438151042,6.553798158963521,0.03027792131858102,486,-0.003962133786747775,0.025249075144529343
2719744,922.932373046875,83,798.0,567,4794,0.039958134,0.00015,0.1771683394908905,0.9396153688430786,0.2,0.4098663330078125,6.558018799871206,0.03377670188395617,492,-0.0027065800792721952,0.010565893724560738
2752512,938.619140625,84,800.0,573,4798,0.042469,0.00015,0.1771736890077591,0.9436287879943848,0.2,0.4140574137369792,6.558194573968649,0.03409173801386108,498,-0.0036900541484404434,0.009982890449464321
2785280,950.57470703125,85,800.0,580,4800,0.0387986,0.00015,0.1771460771560669,0.9404861927032471,0.2,0.4107920328776042,6.558494605123997,0.030158899013864964,504,-0.0038338769524367913,0.0013895705342292786
2818048,910.5203857421875,86,798.0,588,4792,0.037325677,0.00015,0.17711302638053894,0.947819709777832,0.2,0.4027608235677083,6.558573103199403,0.025759038762771524,510,-0.0032572924653019677,-0.013909421861171722
2850816,911.5701293945312,87,798.0,598,4760,0.041171465,0.00015,0.1770331710577011,0.9392874836921692,0.2,0.420196533203125,6.567465245723724,0.037530472885312825,516,-0.004720008408185095,0.01324697770178318
2883584,934.8671264648438,88,798.0,609,4731,0.039843068,0.00015,0.17675615847110748,0.9357134103775024,0.2,0.4124552408854167,6.590643331408501,0.02887963774992386,522,-0.004758687803284071,0.012068629264831543
2916352,953.6865844726562,89,800.0,620,4703,0.036711317,0.00015,0.17663487792015076,0.9426838755607605,0.2,0.40008544921875,6.6120840435226755,0.024744201281767648,528,-0.002622174652060494,-0.0007478110492229462
2949120,944.9645385742188,90,798.0,630,4677,0.040357396,0.00015,0.17651358246803284,0.9346911907196045,0.2,0.4195404052734375,6.624591742952664,0.03158774159480041,534,-0.0031689136709852996,0.0009275507181882858
2981888,933.859130859375,91,798.0,641,4650,0.039646763,0.00015,0.17642009258270264,0.940917432308197,0.2,0.4159138997395833,6.634239359448354,0.02523542333074147,540,-0.004412722089303618,-0.00315154530107975
3014656,928.6565551757812,92,798.0,651,4624,0.03942986,0.00015,0.17632834613323212,0.9488430619239807,0.2,0.4115956624348958,6.647215032329162,0.030415318523106787,546,-0.003297048825212793,-0.008467890322208405
3047424,900.730712890625,93,800.0,662,4598,0.040061783,0.00015,0.17621424794197083,0.9401134252548218,0.2,0.412384033203125,6.660808672507604,0.02602193115793246,552,-0.0033495329407742247,-0.010318624787032604
3080192,896.8280639648438,94,800.0,673,4574,0.04099928,0.00015,0.17607590556144714,0.9354453086853027,0.2,0.419952392578125,6.678839471191168,0.03196201704849955,558,-0.004064273009741252,0.009287338703870773
3112960,910.6312255859375,95,800.0,684,4551,0.039538648,0.00015,0.17600470781326294,0.9374454617500305,0.2,0.4083913167317708,6.687093999236822,0.021599535228839766,564,-0.005449916753908231,0.014436489902436733
3145728,904.8384399414062,96,800.0,694,4527,0.040743187,0.00015,0.17576684057712555,0.941156268119812,0.2,0.4255828857421875,6.707806094239156,0.02981885616463842,570,-0.0031358369433291955,0.01248788833618164
3178496,871.8292236328125,97,800.0,705,4505,0.040706873,0.00015,0.17585253715515137,0.9399598240852356,0.2,0.4218037923177083,6.714228582878907,0.03269889415969374,576,-0.003399686681101836,0.004351615905761719
3211264,879.7622680664062,98,800.0,716,4483,0.040491126,0.00015,0.17581327259540558,0.9411537647247314,0.2,0.427459716796875,6.71647160500288,0.03511008458735887,582,-0.0030771104881447777,0.002873418852686882
3244032,886.8440551757812,99,800.0,726,4463,0.04164397,0.00015,0.17599442601203918,0.9392737150192261,0.2,0.42352294921875,6.702666540940602,0.03238551635877229,588,-0.003360068765687174,0.0013268273323774338
3276800,878.1795043945312,100,798.0,737,4443,0.041279014,0.00015,0.1759258210659027,0.9369985461235046,0.2,0.4215240478515625,6.699740514159203,0.03775941741575176,594,-0.004660654096369399,0.013002680614590645
3309568,877.564453125,101,798.0,748,4424,0.041999288,0.00015,0.1758699119091034,0.9377873539924622,0.2,0.4200388590494792,6.70305185392499,0.03353505329869222,600,-0.00492894598452646,-0.0020905490964651108
3342336,913.87841796875,102,798.0,758,4406,0.042485863,0.00015,0.175784632563591,0.9333246946334839,0.2,0.4312388102213542,6.71570814276735,0.037389749365199045,606,-0.0026323462661821395,-0.007326772436499596
3375104,926.5222778320312,103,800.0,768,4389,0.04326656,0.00015,0.17560066282749176,0.9351791739463806,0.2,0.4261220296223958,6.727418694645166,0.02983596356837855,612,-0.004133362255136793,0.0311643797904253
3407872,940.1322021484375,104,800.0,779,4371,0.039667986,0.00015,0.17554700374603271,0.9370590448379517,0.2,0.41986083984375,6.741037665555875,0.03585245220165234,618,-0.002127821308628578,0.0019755233079195023
3440640,900.8738403320312,105,794.0,790,4354,0.042574026,0.00015,0.17543156445026398,0.9352988004684448,0.2,0.4269205729166667,6.753866830219825,0.03273297441288984,624,-0.004137952106248122,0.004654953256249428
3473408,914.7388916015625,106,792.0,800,4338,0.04163604,0.00015,0.17534996569156647,0.9475821256637573,0.2,0.4241129557291667,6.766240273912747,0.02728187311246681,630,-0.003963319350683984,-0.0006564371287822723
3506176,913.9910278320312,107,798.0,811,4322,0.04009817,0.00015,0.1754913628101349,0.9377906322479248,0.2,0.4164021809895833,6.761962910493215,0.03179754250595579,636,-0.0022993408717108346,0.005068034864962101
3538944,932.4635009765625,108,798.0,821,4307,0.043762088,0.00015,0.1752905547618866,0.9374785423278809,0.2,0.428619384765625,6.766716110209624,0.03171349755818179,642,-0.004125816227315227,0.001324620097875595
3571712,942.6967163085938,109,790.0,831,4292,0.043142673,0.00015,0.17511965334415436,0.9325589537620544,0.2,0.4258982340494792,6.7907522432506084,0.03275931025564205,648,-0.0029921441685777004,0.007403316907584667
3604480,935.9545288085938,110,790.0,842,4279,0.042399593,0.00015,0.17489780485630035,0.9315940737724304,0.2,0.4273783365885417,6.813662618398666,0.027080701244509935,654,-0.005022837972016229,0.0010253442451357841
3637248,932.343994140625,111,794.0,852,4266,0.04138983,0.00015,0.1747635155916214,0.9420969486236572,0.2,0.4225565592447917,6.8383771901329355,0.024604823091067374,660,-0.0039786750700538205,0.00015967339277267456
3670016,914.3638305664062,112,800.0,863,4251,0.043019995,0.00015,0.17485523223876953,0.9425727128982544,0.2,0.4278767903645833,6.838320811589559,0.029467839184993256,666,-0.00402228443272179,-0.0003711674362421036
3702784,855.91259765625,113,790.0,873,4237,0.04210606,0.00015,0.17491461336612701,0.9425221085548401,0.2,0.4252471923828125,6.8296490758657455,0.029336593686214957,672,-0.002645781632660752,0.006102185230702162
3735552,882.415283203125,114,786.0,883,4225,0.041758597,0.00015,0.17503947019577026,0.9368065595626831,0.2,0.4203440348307292,6.813975048561891,0.031873807039422296,678,-0.004548175418070362,-0.006125656887888908
3768320,896.7507934570312,115,788.0,894,4212,0.041886132,0.00015,0.17496225237846375,0.9297206401824951,0.2,0.4220174153645833,6.81531556447347,0.02960463153431192,684,-0.003548425318513182,0.014776358380913734
