time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss
5402,835584,154,51,401.5820617675781,300.0,0.2101271152496338,0.0003,0.047185745,-0.03645843267440796,0.2,500,0.9904557466506958,-0.019308522452774923,2.545165827125311,0.436077880859375,0.0062580968588008545
5401,851968,157,52,381.3873291015625,300.0,0.20991063117980957,0.0003,0.047133517,-0.034857187420129776,0.2,510,0.9889740347862244,-0.020297162428323644,2.5612925507128237,0.44669189453125,0.006262578369933181
5401,868352,160,53,363.0140380859375,300.0,0.2094852775335312,0.0003,0.04646144,-0.034133922308683395,0.2,520,0.9922147989273071,-0.018552638755500082,2.5982483841478823,0.449761962890625,0.006627241036039777
5403,884736,163,54,376.93182373046875,300.0,0.20893651247024536,0.0003,0.04954222,-0.027101555839180946,0.2,530,0.9885700345039368,-0.018985352406889432,2.6422168098390104,0.44991455078125,0.007375618745572865
5406,901120,166,55,393.0700378417969,300.0,0.20850235223770142,0.0003,0.04920791,-0.029629439115524292,0.2,540,0.9917969703674316,-0.021027672795025865,2.6837637938559054,0.445086669921875,0.005417869817756582
5407,917504,169,56,389.5268249511719,300.0,0.2083037942647934,0.0003,0.04986965,-0.03283372521400452,0.2,550,0.9916576743125916,-0.019234485655033495,2.696168863773346,0.44266357421875,0.006292576034320518
5413,933888,172,57,406.59124755859375,300.0,0.20823442935943604,0.0003,0.047832623,-0.02989734522998333,0.2,560,0.9897623658180237,-0.020247195778938475,2.7125838115811347,0.453387451171875,0.006244415785477031
5412,950272,175,58,397.0101318359375,300.0,0.20820514857769012,0.0003,0.04518669,-0.03590371459722519,0.2,570,0.991995632648468,-0.01858158764516702,2.717623075097799,0.438739013671875,0.004626532887050417
5417,966656,178,59,393.9674987792969,300.0,0.20758575201034546,0.0003,0.046277743,-0.03368591517210007,0.2,580,0.9916514754295349,-0.01731014856195543,2.754406912624836,0.444415283203125,0.006606323028972838
5418,983040,181,60,414.0528869628906,300.0,0.20730966329574585,0.0003,0.046992898,-0.032158445566892624,0.2,590,0.988686740398407,-0.02017290740768658,2.7873580493032932,0.438616943359375,0.004611587338877144
