time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/value_loss,train/std,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss
786432,48,120.23204040527344,178,299.0,4412,0.046807165793143216,0.9461994171142578,0.0003,0.8566668033599854,-0.04880649623955833,0.260894775390625,-0.1772811859846115,0.021716014,0.2,470,-24.540643841028214
802816,49,120.5835952758789,181,299.0,4411,0.04854294344549999,0.9448724389076233,0.0003,0.8920183181762695,-0.04652964769557002,0.258123779296875,-0.17378582060337067,0.021190647,0.2,480,-24.52158490419388
819200,50,125.54330444335938,185,299.54,4410,0.04224740013014525,0.94367915391922,0.0003,0.8832532167434692,-0.049184227233490675,0.25506591796875,-0.18243616819381714,0.02191817,0.2,490,-24.497209680080413
835584,51,128.16763305664062,189,296.3,4410,0.04880180234322325,0.9427535533905029,0.0003,0.8654184341430664,-0.048252401009813185,0.259783935546875,-0.18075956404209137,0.022650199,0.2,500,-24.480712872743606
851968,52,129.0257568359375,193,293.07,4408,0.05038372420240193,0.9415818452835083,0.0003,0.8599743247032166,-0.04928830973949516,0.26507568359375,-0.18204572796821594,0.022798914,0.2,510,-24.461519682407378
868352,53,126.47743225097656,196,295.14,4407,0.04415034526027739,0.9407064914703369,0.0003,0.8866579532623291,-0.049894728037179446,0.2688232421875,-0.1785157471895218,0.022498159,0.2,520,-24.43483294248581
884736,54,129.94375610351562,200,300.0,4407,0.046268372132908554,0.9399735927581787,0.0003,0.8841614127159119,-0.04953498162212781,0.26064453125,-0.17807833850383759,0.022083431,0.2,530,-24.425755071640015
901120,55,130.74151611328125,204,298.27,4406,0.042169586615636946,0.9402573704719543,0.0003,0.8847818374633789,-0.04837880206468981,0.25526123046875,-0.1801125705242157,0.022260373,0.2,540,-24.42370625138283
917504,56,128.4131622314453,208,295.83,4406,0.04182607363909483,0.9382284879684448,0.0003,0.8768744468688965,-0.04963821466226363,0.26802978515625,-0.17815154790878296,0.022877127,0.2,550,-24.392517149448395
933888,57,124.65026092529297,211,297.56,4405,0.03772489018156193,0.9361117482185364,0.0003,0.9286887049674988,-0.049831566833745455,0.270050048828125,-0.18174542486667633,0.023629092,0.2,560,-24.346746200323103
950272,58,123.61589813232422,215,300.0,4405,0.03948107269825414,0.9345185160636902,0.0003,0.8777647018432617,-0.05087321501341648,0.275775146484375,-0.17599956691265106,0.023696685,0.2,570,-24.320039588212968
966656,59,129.0001983642578,219,299.13,4406,0.03893247244996019,0.933359682559967,0.0003,0.8942136168479919,-0.05133319483211381,0.271026611328125,-0.18765124678611755,0.023175552,0.2,580,-24.29606439471245
983040,60,135.99285888671875,223,298.25,4404,0.038729444867931305,0.9321374893188477,0.0003,0.894905686378479,-0.05087116393551696,0.273486328125,-0.177065908908844,0.024282532,0.2,590,-24.27190869450569
999424,61,137.4525146484375,229,296.58,4361,0.04604435169603675,0.9316873550415039,0.0003,0.8827294707298279,-0.049017972087312955,0.279681396484375,-0.17907734215259552,0.024327535,0.2,600,-24.2579404771328
1015808,62,135.1750030517578,235,298.33,4314,0.040032920200610535,0.9309529066085815,0.0003,0.8434627056121826,-0.05127190412895288,0.281634521484375,-0.17726920545101166,0.024769653,0.2,610,-24.244864970445633
