time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/std,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss
510,800.0,1038.42578125,4232,66,2162688,0.18342876434326172,0.00015,7.207413865874211,0.9393319487571716,0.2,0.47808837890625,0.027040143749521423,0.05150754,390,-0.0024083308192833406,-0.007895235903561115
518,800.0,1033.0047607421875,4232,67,2195456,0.18358364701271057,0.00015,7.192125639567773,0.9264533519744873,0.2,0.4805806477864583,0.029137861682102084,0.050194453,396,-0.0019137395035310571,0.0014976365491747856
526,800.0,1001.6051635742188,4229,68,2228224,0.1835746169090271,0.00015,7.1892460870246095,0.9356910586357117,0.2,0.4804840087890625,0.030781585111981258,0.053001635,402,-0.00358905174228615,0.006163198500871658
535,800.0,996.6187744140625,4225,69,2260992,0.18360112607479095,0.00015,7.185998166600863,0.9315655827522278,0.2,0.4789632161458333,0.03174501432901403,0.051038846,408,-0.005092660231336292,-0.01507427915930748
543,800.0,1039.6605224609375,4223,70,2293760,0.18371453881263733,0.00015,7.17844532802701,0.9338842034339905,0.2,0.476287841796875,0.027921953374364723,0.051227335,414,-0.0027986412187601672,-0.007946916855871677
550,800.0,1035.20654296875,4223,71,2326528,0.18381056189537048,0.00015,7.163099952042103,0.9409067630767822,0.2,0.4728291829427083,0.026209461032218922,0.05120054,420,-0.003979425155800224,-0.006902877241373062
558,800.0,1004.1925659179688,4222,72,2359296,0.1838030070066452,0.00015,7.156751035402219,0.9298275113105774,0.2,0.480010986328125,0.030054980001295917,0.051997922,426,-0.0035751674649873166,0.0012705475091934204
566,800.0,986.892333984375,4222,73,2392064,0.1837398260831833,0.00015,7.163894027471542,0.9319328665733337,0.2,0.48577880859375,0.033411183205316775,0.054296203,432,-0.003954323522521008,0.006580580957233906
574,796.0,972.9338989257812,4222,74,2424832,0.18386943638324738,0.00015,7.158091516544421,0.9317823052406311,0.2,0.480072021484375,0.029976298491722748,0.05256972,438,-0.003901986613830862,0.0032980432733893394
582,796.0,978.8585815429688,4221,75,2457600,0.1839890331029892,0.00015,7.135580010712147,0.9362207651138306,0.2,0.4787089029947917,0.032416648047122486,0.05322506,444,-0.004996661618254923,-0.005360872484743595
589,798.0,979.04443359375,4221,76,2490368,0.1840379536151886,0.00015,7.126572181781133,0.9285470247268677,0.2,0.4883626302083333,0.03507362550105123,0.053279657,450,-0.004526070718081125,-0.00612374022603035
597,798.0,995.073974609375,4221,77,2523136,0.18407414853572845,0.00015,7.12436334664623,0.9504916071891785,0.2,0.4759724934895833,0.026668597197082516,0.052377425,456,-0.003568377278497792,-0.004401053301990032
605,795.76,988.1310424804688,4221,78,2555904,0.18431565165519714,0.00015,7.0954256542027,0.945693850517273,0.2,0.4940948486328125,0.03594278356467839,0.05801514,462,-0.0034251856844396875,-0.004647029563784599
613,795.76,993.1395874023438,4221,79,2588672,0.18421953916549683,0.00015,7.093091747413079,0.9244747161865234,0.2,0.4864654541015625,0.034776502007540934,0.056215007,468,-0.00374429806167124,8.276477456092834e-05
621,797.76,973.6005249023438,4219,80,2621440,0.18412157893180847,0.00015,7.108264089872439,0.9353076219558716,0.2,0.4874827067057292,0.0306400408638486,0.055768803,474,-0.003675217081157219,0.012695485725998878
628,799.2,967.6046142578125,4219,81,2654208,0.18408261239528656,0.00015,7.117469208935897,0.9355979561805725,0.2,0.495513916015625,0.030134998174617067,0.053962603,480,-0.0027411187960145376,0.004270017147064209
636,799.2,996.3297729492188,4220,82,2686976,0.184048593044281,0.00015,7.126664002736409,0.9471210837364197,0.2,0.4885660807291667,0.029808371250207227,0.052200053,486,-0.0023719443088339176,0.011461707763373852
644,799.2,976.328369140625,4220,83,2719744,0.18420884013175964,0.00015,7.113371443003416,0.9276478290557861,0.2,0.49066162109375,0.032469496198852234,0.05604072,492,-0.003798678443369378,0.01571178436279297
652,800.0,998.5592041015625,4221,84,2752512,0.18420352041721344,0.00015,7.10311237970988,0.9366158843040466,0.2,0.4910380045572917,0.03182147684371254,0.058451995,498,-0.004183031926610663,0.005786675959825516
659,800.0,1038.9669189453125,4222,85,2785280,0.18419064581394196,0.00015,7.106351749350627,0.9469854235649109,0.2,0.4854075113932292,0.02822053512985197,0.055402316,504,-0.0021300251294936365,-0.0053908945992589
667,798.0,1024.1226806640625,4221,86,2818048,0.18428756296634674,0.00015,7.094702638685703,0.9405735731124878,0.2,0.4828033447265625,0.025829096817081638,0.05461423,510,-0.003986378836392153,0.012729687616229057
675,788.13,960.8917236328125,4219,87,2850816,0.1844255030155182,0.00015,7.082244325429201,0.938357412815094,0.2,0.4817860921223958,0.026039391804564122,0.054430254,516,-0.0016970944125205278,-0.006376666948199272
683,784.13,925.8328247070312,4219,88,2883584,0.184528648853302,0.00015,7.059516717990239,0.9244934916496277,0.2,0.485198974609375,0.03638270843172601,0.05546791,522,-0.003987508184460846,-0.001226990483701229
691,792.0,971.265380859375,4219,89,2916352,0.18441319465637207,0.00015,7.063242098937432,0.9328091144561768,0.2,0.490753173828125,0.03299602856956577,0.056093294,528,-0.004116274854823132,-0.00040815677493810654
699,792.46,968.847900390625,4217,90,2949120,0.18453946709632874,0.00015,7.062557379404704,0.9050520062446594,0.2,0.4995778401692708,0.03367563294402013,0.057097696,534,-0.0024392756289065196,-0.0028311442583799362
706,794.46,972.124755859375,4218,91,2981888,0.18455100059509277,0.00015,7.053511518985033,0.9320332407951355,0.2,0.4875895182291667,0.03241623967187479,0.055089094,540,-0.003430060533598104,0.013439797796308994
714,794.46,1005.246826171875,4218,92,3014656,0.18462100625038147,0.00015,7.049304063121478,0.9298000335693359,0.2,0.4926198323567708,0.030017960030818358,0.0569673,546,-0.003048360797644515,-0.014289786107838154
722,798.0,1006.880859375,4218,93,3047424,0.18476559221744537,0.00015,7.03456071143349,0.9247032999992371,0.2,0.498138427734375,0.03449716290439634,0.05864953,552,-0.003913045838392766,-0.0016379505395889282
730,800.0,1009.1063232421875,4218,94,3080192,0.18477608263492584,0.00015,7.021143334607284,0.9288649559020996,0.2,0.4824015299479167,0.029146361441235058,0.053397667,558,-0.004073293082304493,0.004380637779831886
738,800.0,994.8656005859375,4217,95,3112960,0.18472197651863098,0.00015,7.028252606590589,0.9263508915901184,0.2,0.5032399495442709,0.033564038540741116,0.060150195,564,-0.0025032237839089553,-0.0010210927575826645
746,794.0,986.5239868164062,4216,96,3145728,0.18468038737773895,0.00015,7.036716391642888,0.9328007102012634,0.2,0.49908447265625,0.035599119476197906,0.05761366,570,-0.002648745447913825,0.001563885249197483
753,794.0,973.714111328125,4216,97,3178496,0.1846873015165329,0.00015,7.037927329540253,0.9284093379974365,0.2,0.5059000651041666,0.03716914700150179,0.05978897,576,-0.003990632726830275,0.02066192217171192
761,800.0,1021.857421875,4216,98,3211264,0.1846230924129486,0.00015,7.04181332886219,0.9356690645217896,0.2,0.496826171875,0.03057593198172981,0.05839735,582,-0.0037395631267524245,0.005490812472999096
769,800.0,1035.896728515625,4217,99,3244032,0.18453796207904816,0.00015,7.053466626753409,0.9232228398323059,0.2,0.4958089192708333,0.02999478602335633,0.05590273,588,-0.002633725500345463,-0.0036164522171020508
777,798.0,995.4020385742188,4215,100,3276800,0.18460100889205933,0.00015,7.050496727228165,0.9347461462020874,0.2,0.5018310546875,0.029438998850916203,0.0594078,594,-0.004396405954139482,0.006550577934831381
785,798.0,945.0744018554688,4215,101,3309568,0.18463069200515747,0.00015,7.051541349540154,0.9274160861968994,0.2,0.4969838460286458,0.04295345470988347,0.05816265,600,-0.003007052847806335,0.020838093012571335
792,792.0,930.77978515625,4215,102,3342336,0.18487581610679626,0.00015,7.027852177619934,0.9264271855354309,0.2,0.4978434244791667,0.03040310256862237,0.060922313,606,-0.002842206997835698,-0.0023078909143805504
800,790.0,974.1290893554688,4215,103,3375104,0.18491967022418976,0.00015,7.005872561285893,0.9232505559921265,0.2,0.5009104410807291,0.03320823681618398,0.05942624,612,-0.004766823807585752,-0.012330157682299614
808,788.0,981.6891479492188,4215,104,3407872,0.18476592004299164,0.00015,7.019140963753064,0.926860511302948,0.2,0.4930521647135417,0.030888037542657305,0.055386297,618,-0.003054926103383574,-0.009203121066093445
816,796.0,988.5628662109375,4215,105,3440640,0.18460644781589508,0.00015,7.038519084453583,0.9271228313446045,0.2,0.5024820963541666,0.02967621950665489,0.05599695,624,-0.0030108571487896065,0.012297353707253933
824,794.0,967.272705078125,4214,106,3473408,0.18443983793258667,0.00015,7.061930034309626,0.9268261790275574,0.2,0.5015920003255209,0.02767192888131831,0.061438046,630,-0.003610705101285324,-0.012393300421535969
832,796.0,958.0797729492188,4213,107,3506176,0.18452484905719757,0.00015,7.066870449731748,0.9237024784088135,0.2,0.5020294189453125,0.03556295291734083,0.06052426,636,-0.002252850453563345,0.0007516201585531235
840,796.0,966.508056640625,4212,108,3538944,0.18455658853054047,0.00015,7.06221783036987,0.9372531771659851,0.2,0.4957071940104167,0.02909398170838055,0.057346046,642,-0.004014276039621715,0.007681211922317743
847,794.0,984.5934448242188,4212,109,3571712,0.18461912870407104,0.00015,7.053806006908417,0.9232162833213806,0.2,0.5017445882161459,0.0332697325842067,0.057532772,648,-0.0030539472927557654,0.0024896301329135895
855,792.0,998.9664306640625,4211,110,3604480,0.18455618619918823,0.00015,7.051608398556709,0.9297633171081543,0.2,0.4965922037760417,0.03245369385695085,0.057757325,654,-0.003809684395188621,0.0019700247794389725
863,796.0,1018.5276489257812,4211,111,3637248,0.18448267877101898,0.00015,7.06252533569932,0.9279273152351379,0.2,0.4974263509114583,0.02906261182700594,0.05619795,660,-0.003928066143392546,0.002914893440902233
871,796.0,984.068359375,4210,112,3670016,0.18454107642173767,0.00015,7.060132523377736,0.9317134618759155,0.2,0.5038401285807291,0.026699560854467563,0.05764029,666,-0.002239910451559505,-0.01860056072473526
879,800.0,979.4271850585938,4209,113,3702784,0.18459932506084442,0.00015,7.0519946565230684,0.9327121376991272,0.2,0.4970143636067708,0.028069100007996894,0.05721715,672,-0.0024498029955187426,0.008113203570246696
887,800.0,1001.1498413085938,4208,114,3735552,0.18487627804279327,0.00015,7.033161763101816,0.9123037457466125,0.2,0.5086873372395834,0.03323046116080756,0.06064557,678,-0.0009740018776938086,0.00020147673785686493
895,798.0,1036.026123046875,4208,115,3768320,0.18490758538246155,0.00015,7.012305027494828,0.9324287176132202,0.2,0.5089670817057291,0.024006395675921038,0.05826209,684,-0.00160881464034901,-0.0009022913873195648
903,796.0,1013.7865600585938,4208,116,3801088,0.184997096657753,0.00015,7.002611551433802,0.9106624126434326,0.2,0.5068511962890625,0.030677992515848018,0.0580609,690,-0.002309035674140129,0.006825318560004234
