t_unix,roll_deg,pitch_deg
1786332036.405,-3.2,0.7
1786332036.705,7.0,4.1
1786332037.005,3.4,1.1
1786332037.305,2.5,0.0
1786332037.605,4.2,9.9
1786332037.906,1.6,4.4
1786332038.206,4.9,-3.9
1786332038.507,2.4,19.4
1786332038.807,2.2,3.8
1786332039.107,7.2,10.5
1786332039.408,-5.4,-3.7
1786332039.708,2.6,3.2
1786332040.008,-6.6,-1.6
1786332040.308,-3.7,2.0
1786332040.608,4.7,8.7
1786332040.908,-1.4,1.1
1786332041.209,4.5,-1.3
1786332041.509,0.9,4.5
1786332041.809,-4.2,7.9
1786332042.109,1.4,5.6
1786332042.410,-1.4,-2.3
1786332042.710,4.9,1.0
1786332043.010,1.8,5.0
1786332043.311,-5.9,0.2
1786332043.611,2.1,8.2
1786332043.911,5.2,-3.6
1786332044.211,3.6,-3.6
1786332044.511,1.0,2.7
1786332044.812,0.2,3.7
1786332045.112,9.0,4.7
1786332045.412,3.0,0.4
1786332045.712,-1.2,-1.2
1786332046.012,2.4,1.2
1786332046.312,-2.7,-5.0
1786332046.612,3.9,10.4
1786332046.913,0.8,-1.3
1786332047.213,4.4,-0.5
1786332047.513,4.4,7.9
1786332047.813,4.6,8.9
1786332048.113,-0.8,2.7
1786332048.414,3.0,-2.7
1786332048.714,11.1,6.7
1786332049.014,-0.8,-2.4
1786332049.314,2.5,9.6
1786332049.615,6.7,6.1
1786332049.915,3.6,6.2
1786332050.216,9.9,-0.7
1786332050.516,-3.7,4.8
1786332050.816,-0.3,6.8
1786332051.116,5.4,10.3
1786332051.416,4.3,2.8
1786332051.717,15.1,-1.4
1786332052.017,7.0,5.6
1786332052.317,2.4,1.3
1786332052.617,-4.1,3.6
1786332052.917,2.4,1.9
1786332053.218,9.7,0.8
1786332053.518,0.6,2.6
1786332053.818,-1.9,4.3
1786332054.119,4.4,2.6
1786332054.419,2.9,2.2
1786332054.719,1.8,2.5
1786332055.020,1.6,2.5
1786332055.320,1.4,2.4
1786332055.621,1.3,2.6
1786332055.921,1.3,2.5
1786332056.221,1.4,2.8
1786332056.522,1.4,2.7
1786332056.822,1.6,2.7
1786332057.123,1.4,2.6
1786332057.423,1.4,2.7
1786332057.723,1.5,2.6
1786332058.024,1.4,2.7
1786332058.324,1.4,2.8
1786332058.624,1.4,2.8
1786332058.924,1.3,2.6
1786332059.225,1.5,2.5
1786332059.525,1.6,2.6
1786332059.825,1.4,2.6
1786332060.126,1.4,2.5
1786332060.426,1.5,2.6
1786332060.726,1.4,2.6
1786332061.026,1.4,2.7
1786332061.327,1.4,2.8
1786332061.627,1.5,2.6
1786332061.927,1.4,2.5
1786332062.228,1.4,2.6
1786332062.528,1.5,2.8
1786332062.829,1.5,2.6
1786332063.129,1.3,2.6
1786332063.429,1.4,2.6
1786332063.730,1.6,2.9
1786332064.030,1.3,2.6
1786332064.330,1.5,2.7
1786332064.630,1.3,2.6
1786332064.931,1.5,2.5
1786332065.231,1.6,2.6
1786332065.531,1.4,2.7
1786332065.832,1.3,2.5
1786332066.132,1.5,2.6
1786332066.432,1.5,2.7
1786332066.732,1.3,2.7
1786332067.033,1.4,2.6
1786332067.333,1.3,2.6
1786332067.634,1.6,2.5
1786332067.934,1.4,2.6
1786332068.234,1.5,2.6
1786332068.534,1.6,2.6
1786332068.834,1.4,2.7
1786332069.134,1.5,2.9
1786332069.435,1.4,2.5
1786332069.735,1.4,2.6
1786332070.035,1.4,2.5
1786332070.335,1.6,2.7
1786332070.635,1.5,2.7
1786332070.935,1.4,2.6
1786332071.235,1.3,2.8
1786332071.536,1.5,2.6
1786332071.836,1.5,2.6
1786332072.136,1.4,2.5
1786332072.436,1.5,2.7
1786332072.736,1.4,2.9
1786332073.037,1.4,2.5
1786332073.337,1.5,2.5
1786332073.637,1.4,2.6
1786332073.937,1.4,2.6
1786332074.237,1.5,2.6
1786332074.538,1.3,2.8
1786332074.838,1.4,2.8
1786332075.138,1.4,2.6
1786332075.438,1.4,2.8
1786332075.739,1.4,2.7
1786332076.039,1.5,2.7
1786332076.339,1.4,2.5
1786332076.639,1.5,2.7
1786332076.939,1.4,2.6
1786332077.240,1.4,2.6
1786332077.540,1.4,2.7
1786332077.840,1.4,2.8
1786332078.141,1.3,2.6
1786332078.441,1.5,2.5
1786332078.741,1.5,2.5
1786332079.041,1.5,2.7
1786332079.341,1.4,2.6
1786332079.642,1.4,2.7
1786332079.942,1.4,2.6
1786332080.242,1.4,2.7
1786332080.543,1.4,2.6
1786332080.843,1.5,2.5
1786332081.143,1.5,2.5
1786332081.444,1.4,2.5
1786332081.744,1.5,2.6
1786332082.044,1.5,2.6
1786332082.344,1.4,2.7
1786332082.644,1.4,2.8
1786332082.945,1.4,2.8
1786332083.245,1.4,2.6
1786332083.546,1.4,2.7
1786332083.846,1.4,2.8
1786332084.146,1.3,2.7
1786332084.446,1.5,2.6
1786332084.746,1.4,2.6
1786332085.047,1.4,2.6
1786332085.347,1.3,2.7
1786332085.647,1.4,2.7
1786332085.947,1.4,2.7
1786332086.247,1.5,2.6
1786332086.548,1.3,2.5
1786332086.848,1.4,2.8
1786332087.148,1.5,2.7
1786332087.448,1.4,2.7
1786332087.748,1.4,2.6
1786332088.049,1.6,2.7
1786332088.349,1.4,2.5
1786332088.649,1.5,2.6
1786332088.949,1.4,2.5
1786332089.249,1.4,2.6
1786332089.550,1.3,2.6
1786332089.850,1.5,2.7
1786332090.150,1.4,2.7
1786332090.450,1.4,2.5
1786332090.750,1.4,2.6
1786332091.051,1.4,2.7
1786332091.351,1.3,2.5
1786332091.651,1.4,2.4
1786332091.951,1.5,2.7
1786332092.252,1.5,2.6
1786332092.552,1.5,2.7
1786332092.852,1.4,2.6
1786332093.152,1.4,2.5
