t_unix,bus_ts,tag,q2_deg
1786331507.1041,1786331507.101414,up5,84.02
1786331507.1370,1786331507.1342044,up5,84.02
1786331507.1647,1786331507.1621628,up5,84.02
1786331507.1978,1786331507.194947,up5,84.02
1786331507.2245,1786331507.222469,up5,84.02
1786331507.2586,1786331507.2563412,up5,84.02
1786331507.2859,1786331507.283354,up5,84.02
1786331507.3186,1786331507.3158011,up5,84.02
1786331507.3461,1786331507.3433964,up5,84.02
1786331507.3809,1786331507.3778784,up5,84.02
1786331507.4074,1786331507.4050767,up5,84.02
1786331507.4410,1786331507.4384143,up5,84.02
1786331507.4679,1786331507.465526,up5,84.02
1786331507.5006,1786331507.4982815,up5,84.02
1786331507.5208,None,CMD_dn5,None
1786331507.5402,1786331507.53826,dn5,84.02
1786331507.5732,1786331507.570518,dn5,84.02
1786331507.5999,1786331507.597498,dn5,84.02
1786331507.6339,1786331507.6309447,dn5,83.41
1786331507.6614,1786331507.6589353,dn5,83.41
1786331507.6949,1786331507.692691,dn5,81.83
1786331507.7220,1786331507.7195442,dn5,81.83
1786331507.7549,1786331507.7524989,dn5,80.24
1786331507.7810,1786331507.7788138,dn5,80.24
1786331507.8142,1786331507.811937,dn5,79.37
1786331507.8408,1786331507.838263,dn5,79.37
1786331507.8736,1786331507.8712747,dn5,79.19
1786331507.9009,1786331507.898188,dn5,79.19
1786331507.9353,1786331507.9322562,dn5,79.19
1786331507.9633,1786331507.9606957,dn5,79.19
1786331507.9968,1786331507.9940004,dn5,79.19
1786331508.0239,1786331508.0210893,dn5,79.19
1786331508.0570,1786331508.0543327,dn5,79.19
1786331508.0843,1786331508.0817695,dn5,79.19
1786331508.1171,1786331508.1140807,dn5,79.19
1786331508.1441,1786331508.1416945,dn5,79.19
1786331508.1768,1786331508.1745725,dn5,79.19
1786331508.2056,1786331508.203303,dn5,79.19
1786331508.2387,1786331508.2361526,dn5,79.19
1786331508.2650,1786331508.2625167,dn5,79.19
1786331508.2972,1786331508.2950394,dn5,79.19
1786331508.3229,1786331508.320667,dn5,79.19
1786331508.3555,1786331508.353035,dn5,79.19
1786331508.3817,1786331508.3794498,dn5,79.19
1786331508.4149,1786331508.4119608,dn5,79.19
1786331508.4424,1786331508.4401617,dn5,79.19
1786331508.4769,1786331508.4741585,dn5,79.19
1786331508.5044,1786331508.50154,dn5,79.19
1786331508.5376,1786331508.534735,dn5,79.19
1786331508.5644,1786331508.5619795,dn5,79.19
1786331508.5976,1786331508.594791,dn5,79.19
1786331508.6244,1786331508.6221735,dn5,79.19
1786331508.6568,1786331508.6544814,dn5,79.19
1786331508.6835,1786331508.681013,dn5,79.19
1786331508.7149,1786331508.7125568,dn5,79.19
1786331508.7409,1786331508.7386696,dn5,79.19
1786331508.7737,1786331508.7711701,dn5,79.19
1786331508.8004,1786331508.7978501,dn5,79.19
1786331508.8323,1786331508.8298693,dn5,79.19
1786331508.8593,1786331508.8565838,dn5,79.19
1786331508.8922,1786331508.8896453,dn5,79.19
1786331508.9194,1786331508.9169414,dn5,79.19
1786331508.9559,1786331508.950249,dn5,79.19
1786331508.9827,1786331508.980445,dn5,79.19
1786331509.0161,1786331509.01366,dn5,79.19
1786331509.0430,1786331509.0408764,dn5,79.19
1786331509.0759,1786331509.0733473,dn5,79.19
1786331509.1027,1786331509.1001,dn5,79.19
1786331509.1364,1786331509.1333244,dn5,79.19
1786331509.1629,1786331509.1607914,dn5,79.19
1786331509.1948,1786331509.192487,dn5,79.19
1786331509.2214,1786331509.2191498,dn5,79.19
1786331509.2480,1786331509.2456126,dn5,79.19
1786331509.2747,1786331509.2724495,dn5,79.19
1786331509.3080,1786331509.3053818,dn5,79.19
1786331509.3357,1786331509.3331504,dn5,79.19
1786331509.3689,1786331509.3663366,dn5,79.19
1786331509.3955,1786331509.3931048,dn5,79.19
1786331509.4290,1786331509.4262335,dn5,79.19
1786331509.4563,1786331509.4539835,dn5,79.19
1786331509.4894,1786331509.486682,dn5,79.19
1786331509.5161,1786331509.5136316,dn5,79.19
1786331509.5505,1786331509.547705,dn5,79.19
1786331509.5778,1786331509.5754933,dn5,79.19
1786331509.6120,1786331509.6093762,dn5,79.19
1786331509.6385,1786331509.636211,dn5,79.19
1786331509.6701,1786331509.6680126,dn5,79.19
1786331509.6958,1786331509.693363,dn5,79.19
1786331509.7287,1786331509.7259533,dn5,79.19
1786331509.7546,1786331509.7525444,dn5,79.19
1786331509.7882,1786331509.7855854,dn5,79.19
1786331509.8148,1786331509.8121567,dn5,79.19
1786331509.8483,1786331509.8454244,dn5,79.19
1786331509.8742,1786331509.8721857,dn5,79.19
1786331509.9083,1786331509.905303,dn5,79.19
1786331509.9359,1786331509.9330645,dn5,79.19
1786331509.9695,1786331509.9666061,dn5,79.19
1786331509.9966,1786331509.9940562,dn5,79.19
1786331510.0306,1786331510.0277677,dn5,79.19
1786331510.0569,1786331510.0547318,dn5,79.19
1786331510.0898,1786331510.0871532,dn5,79.19
1786331510.1168,1786331510.1144764,dn5,79.19
1786331510.1491,1786331510.1466784,dn5,79.19
1786331510.1757,1786331510.1733456,dn5,79.19
1786331510.2072,1786331510.204893,dn5,79.19
1786331510.2334,1786331510.2309165,dn5,79.19
1786331510.2658,1786331510.263558,dn5,79.19
1786331510.2924,1786331510.2898812,dn5,79.19
1786331510.3256,1786331510.3228106,dn5,79.19
1786331510.3531,1786331510.35034,dn5,79.19
1786331510.3863,1786331510.3835948,dn5,79.19
1786331510.4127,1786331510.4103956,dn5,79.19
1786331510.4451,1786331510.442617,dn5,79.19
1786331510.4716,1786331510.4691925,dn5,79.19
1786331510.5055,1786331510.502577,dn5,79.19
1786331510.5324,1786331510.5301108,dn5,79.19
1786331510.5526,None,CMD_up10,None
1786331510.5956,1786331510.5933459,up10,79.19
1786331510.6300,1786331510.6266181,up10,79.19
1786331510.6578,1786331510.6553304,up10,79.19
1786331510.6890,1786331510.6868162,up10,79.54
1786331510.7146,1786331510.7126281,up10,79.54
1786331510.7467,1786331510.7442074,up10,80.68
1786331510.7734,1786331510.7710524,up10,80.68
1786331510.8061,1786331510.8037975,up10,82.88
1786331510.8330,1786331510.8304436,up10,82.88
1786331510.8652,1786331510.8625824,up10,84.99
1786331510.8922,1786331510.889449,up10,84.99
1786331510.9256,1786331510.9229295,up10,87.01
1786331510.9529,1786331510.9505808,up10,87.01
1786331510.9853,1786331510.982832,up10,88.33
1786331511.0138,1786331511.010998,up10,88.33
1786331511.0466,1786331511.044242,up10,88.86
1786331511.0740,1786331511.0716178,up10,88.86
1786331511.1074,1786331511.1044643,up10,88.86
1786331511.1339,1786331511.1315987,up10,88.86
1786331511.1654,1786331511.1630201,up10,88.86
1786331511.1913,1786331511.189025,up10,88.86
