time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/std,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction
200,5063,31,431.7212829589844,1015808,400.0,6.443704967697461,0.00015,0.2,0.00854532464290969,-0.006547808647155762,0.17799308896064758,-0.0038917056863283506,180,0.985615611076355,0.029819079,0.3561604817708333
206,5065,32,405.5283203125,1048576,400.0,6.467309877276421,0.00015,0.2,0.007904334175691474,0.006612355355173349,0.17774350941181183,-0.0037498029826868637,186,0.9864175319671631,0.028228056,0.345550537109375
213,5070,33,456.7071228027344,1081344,400.0,6.492014851421118,0.00015,0.2,0.008099231422723582,-0.0148187056183815,0.17759209871292114,-0.0035377775008479753,192,0.9880796074867249,0.028576858,0.3526051839192708
219,5069,34,446.1826477050781,1114112,400.0,6.513677306473255,0.00015,0.2,0.0064202459931645235,-0.013616165146231651,0.17734864354133606,-0.00398917158175512,198,0.9886269569396973,0.029711772,0.354705810546875
226,5068,35,446.8140563964844,1146880,400.0,6.540325928479433,0.00015,0.2,0.007291865105798934,0.0025269165635108948,0.1771714687347412,-0.0037341300185289583,204,0.9888629913330078,0.029532857,0.3569081624348958
232,5067,36,430.4487609863281,1179648,400.0,6.559918522834778,0.00015,0.2,0.006960875518416287,-0.01722165197134018,0.17698754370212555,-0.003352764674976546,210,0.9889751076698303,0.028762469,0.3526102701822917
239,5072,37,452.9281921386719,1212416,400.0,6.591686112185319,0.00015,0.2,0.007232256701778776,-0.0068309069611132145,0.1767057180404663,-0.0033235885196821378,216,0.9896329641342163,0.030046083,0.3648020426432292
245,5076,38,468.326904296875,1245184,400.0,6.623909416298072,0.00015,0.2,0.006022447706830765,-0.004435467999428511,0.17640885710716248,-0.004025929189083399,222,0.9905558228492737,0.029207075,0.359893798828125
251,5080,39,473.9518737792969,1277952,400.0,6.658671705673139,0.00015,0.2,0.005866297883282338,0.01869538053870201,0.176116943359375,-0.0030498825423516487,228,0.9885644316673279,0.030661063,0.3550313313802083
257,5084,40,442.6540222167969,1310720,400.0,6.693286978950103,0.00015,0.2,0.006294187670694858,0.012374717742204666,0.17585527896881104,-0.0033022266209930726,234,0.989094614982605,0.029497616,0.3585255940755208
