rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
474.74786376953125,142,300.0,3564,507904,31,0.00369088274310343,2.3237312734127045,300,0.21268898248672485,0.0003,0.418157958984375,-0.049581870436668396,0.0437534,0.2,0.9914200901985168,-0.025125641186605208
498.6891784667969,147,300.0,3565,524288,32,0.0029525249869038817,2.3548963971436025,310,0.2121739238500595,0.0003,0.414556884765625,-0.03877751901745796,0.040344886,0.2,0.9878249764442444,-0.024169120840815593
490.45379638671875,151,300.0,3568,540672,33,0.0026769736148708036,2.397014006972313,320,0.2117149531841278,0.0003,0.4267822265625,-0.043622035533189774,0.04288078,0.2,0.9903445839881897,-0.026484358621382854
475.91082763671875,156,300.0,3566,557056,34,0.003177318746020319,2.4595631517469885,330,0.210931658744812,0.0003,0.426727294921875,-0.04529210180044174,0.04473575,0.2,0.9930561184883118,-0.026452281248930377
481.92645263671875,160,300.0,3568,573440,35,0.003456935734720901,2.493963931500912,340,0.2106604278087616,0.0003,0.42030029296875,-0.032936904579401016,0.043617405,0.2,0.9901959300041199,-0.024754535048850813
488.9395446777344,165,300.0,3571,589824,36,0.0030227207120333333,2.5399678841233255,350,0.20996786653995514,0.0003,0.42867431640625,-0.04084504395723343,0.046040416,0.2,0.9909862279891968,-0.027324102983402553
488.02020263671875,169,300.0,3572,606208,37,0.0029177534946938978,2.585509634763002,360,0.20954754948616028,0.0003,0.431390380859375,-0.04749155044555664,0.04439048,0.2,0.9882954955101013,-0.024757373960892438
485.46014404296875,175,300.0,3554,622592,38,0.0023679171597905226,2.623439200222492,370,0.20907773077487946,0.0003,0.43111572265625,-0.037840474396944046,0.044377714,0.2,0.991442859172821,-0.024668060069961938
491.0628662109375,180,300.0,3547,638976,39,0.0027743522172386293,2.648432756215334,380,0.2088327258825302,0.0003,0.4359130859375,-0.029183493927121162,0.046607632,0.2,0.9896677732467651,-0.02417720293888124
491.1209716796875,185,300.0,3524,655360,40,0.0022252638678764924,2.690427327156067,390,0.20830076932907104,0.0003,0.436260986328125,-0.04256538301706314,0.04262776,0.2,0.9888015985488892,-0.025280478621425573
488.09246826171875,191,300.0,3505,671744,41,0.00264906965312548,2.7269841194152833,400,0.20797422528266907,0.0003,0.437933349609375,-0.052489202469587326,0.047498733,0.2,0.9928470253944397,-0.026277142482285853
499.0352478027344,196,300.0,3499,688128,42,0.002470783525859588,2.7696163401007654,410,0.20735496282577515,0.0003,0.438482666015625,-0.049605946987867355,0.044809856,0.2,0.9908722639083862,-0.024889920942950994
491.4458312988281,201,300.0,3497,704512,43,0.0024947065699961967,2.8251550242304804,420,0.206770122051239,0.0003,0.44249267578125,-0.04878496751189232,0.047711983,0.2,0.992260754108429,-0.02321025077108061
477.9726257324219,206,300.0,3491,720896,44,0.0028201546730997505,2.853152322024107,430,0.20644298195838928,0.0003,0.461285400390625,-0.043301284313201904,0.048450805,0.2,0.9900614023208618,-0.02364198229915928
486.8150329589844,211,300.0,3490,737280,45,0.0033586645586183295,2.8884960703551767,440,0.2060871124267578,0.0003,0.4611083984375,-0.03677239269018173,0.047076494,0.2,0.9902797341346741,-0.023556860998360206
503.5552062988281,215,300.0,3489,753664,46,0.0023643381904548733,2.9179433308541776,450,0.205730140209198,0.0003,0.44664306640625,-0.046618930995464325,0.047863815,0.2,0.9932668209075928,-0.02505100296693854
505.8889465332031,220,300.0,3486,770048,47,0.001979937134456122,2.965234161168337,460,0.20523029565811157,0.0003,0.446319580078125,-0.03831186518073082,0.04928093,0.2,0.9928567409515381,-0.02358278559113387
501.9040222167969,225,300.0,3480,786432,48,0.0023967273544258207,3.010278222709894,470,0.204608753323555,0.0003,0.454931640625,-0.037346918135881424,0.048359893,0.2,0.9936921000480652,-0.02380786955181975
499.4092712402344,230,300.0,3476,802816,49,0.002384121503928327,3.052965954691172,480,0.2041865736246109,0.0003,0.4612060546875,-0.03288491070270538,0.05155567,0.2,0.9922695755958557,-0.02447521253634477
511.49432373046875,235,300.0,3475,819200,50,0.002315207977517275,3.0548173144459723,490,0.20444104075431824,0.0003,0.454150390625,-0.032168056815862656,0.05164472,0.2,0.9945422410964966,-0.02629386568587506
510.9468994140625,240,300.0,3472,835584,51,0.0020497806854109513,3.067114073038101,500,0.20395509898662567,0.0003,0.455072021484375,-0.033649690449237823,0.05133354,0.2,0.9926954507827759,-0.023648749757558107
504.3965148925781,245,300.0,3468,851968,52,0.0021085510663397143,3.1018051840364933,510,0.20374199748039246,0.0003,0.45635986328125,-0.04374530538916588,0.052244984,0.2,0.9913668632507324,-0.025502867461909773
493.1900634765625,250,300.0,3466,868352,53,0.0023868135242082643,3.1030419908463953,520,0.20383816957473755,0.0003,0.470147705078125,-0.04318168759346008,0.053852677,0.2,0.9929202198982239,-0.025235175891430116
494.9284362792969,255,300.0,3464,884736,54,0.0026387060017441398,3.120996881276369,530,0.20355254411697388,0.0003,0.458221435546875,-0.04950690641999245,0.050858825,0.2,0.9888833165168762,-0.024224604250048288
510.0519104003906,260,300.0,3462,901120,55,0.0019738565853913313,3.1548528842628003,540,0.20293332636356354,0.0003,0.464434814453125,-0.04441184177994728,0.050876908,0.2,0.9932948350906372,-0.024467906639620195
503.1670837402344,265,300.0,3458,917504,56,0.0021085198994114764,3.2092201486229897,550,0.20243564248085022,0.0003,0.457470703125,-0.046074189245700836,0.05194194,0.2,0.9933509826660156,-0.023688219855102943
513.48193359375,270,300.0,3455,933888,57,0.002069927649063175,3.26348322480917,560,0.20181673765182495,0.0003,0.4779296875,-0.053178735077381134,0.055232145,0.2,0.993016242980957,-0.02622148699738318
516.6487426757812,275,300.0,3452,950272,58,0.0014501174646284198,3.307745160162449,570,0.2014143168926239,0.0003,0.470330810546875,-0.04902942106127739,0.05593048,0.2,0.9950264692306519,-0.025328044760681224
516.9140014648438,280,300.0,3448,966656,59,0.0023570731489598986,3.317866763472557,580,0.2014155387878418,0.0003,0.484088134765625,-0.036384228616952896,0.05704187,0.2,0.9930999875068665,-0.02202010434411932
526.6201171875,285,300.0,3445,983040,60,0.001977909896231722,3.341664407402277,590,0.20111428201198578,0.0003,0.46832275390625,-0.03981386870145798,0.0549751,0.2,0.9889733195304871,-0.024236569146160035
520.4427490234375,290,300.0,3445,999424,61,0.0017207480683282483,3.3592217944562437,600,0.20091597735881805,0.0003,0.47943115234375,-0.04769052565097809,0.05671733,0.2,0.9945865869522095,-0.02390808416021173
522.2478637695312,295,300.0,3441,1015808,62,0.0015571190757327712,3.3936263024806976,610,0.20042011141777039,0.0003,0.488958740234375,-0.031874850392341614,0.059682265,0.2,0.993262529373169,-0.02504344617918832
