time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/std,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
868352,53,182,400.0,4752,526.4073486328125,0.2,520,-0.03153824433684349,6.969487485289574,0.004011669762985548,0.17373070120811462,0.9885694980621338,0.0003,0.609857177734375,-0.004486059058763203,0.11094996
884736,54,186,400.0,4754,524.8409423828125,0.2,530,-0.016009556129574776,7.003217786550522,0.003811429898269125,0.1732502579689026,0.9850337505340576,0.0003,0.617431640625,-0.0035073585699137767,0.11260061
901120,55,189,400.0,4755,519.6661987304688,0.2,540,-0.005162329412996769,7.038191266357899,0.003477753872721223,0.17300423979759216,0.9862145781517029,0.0003,0.6203369140625,-0.005986062077863607,0.122909814
917504,56,192,400.0,4757,517.7440795898438,0.2,550,-0.013646909967064857,7.084785176813602,0.003910024677679758,0.1726047247648239,0.9883513450622559,0.0003,0.617303466796875,-0.005362614626938012,0.12125945
933888,57,196,400.0,4760,523.0538330078125,0.2,560,-0.022594090551137924,7.099160063266754,0.004860935469332616,0.17257413268089294,0.9829447269439697,0.0003,0.631390380859375,-0.005811794711189577,0.12624097
950272,58,199,400.0,4763,539.4097290039062,0.2,570,-0.015978699550032616,7.159579774737358,0.004116247042838949,0.17191383242607117,0.9844340682029724,0.0003,0.621588134765625,-0.005067544404300861,0.1177143
966656,59,202,400.0,4766,537.8834228515625,0.2,580,-0.005122043192386627,7.211580845713615,0.0030936445684346834,0.17163008451461792,0.9840712547302246,0.0003,0.619073486328125,-0.002134610318898922,0.11615399
983040,60,206,400.0,4769,519.54541015625,0.2,590,-0.027129460126161575,7.243010248243809,0.004746293353673536,0.171309232711792,0.9799277782440186,0.0003,0.630889892578125,-0.00439976927373209,0.12138324
999424,61,209,400.0,4771,539.9722900390625,0.2,600,-0.024290932342410088,7.29406124651432,0.003950055594759761,0.17081676423549652,0.9873394966125488,0.0003,0.61783447265625,-0.0020664423378548235,0.12097712
1015808,62,212,400.0,4774,531.406005859375,0.2,610,0.0007215712685137987,7.338428620994091,0.0030934306349081455,0.17057479918003082,0.9878115653991699,0.0003,0.627813720703125,-0.0035144696637871677,0.13270804
1032192,63,216,400.0,4778,529.16357421875,0.2,620,-0.012349347583949566,7.390836487710476,0.004281017383618746,0.17011655867099762,0.9824792146682739,0.0003,0.634735107421875,-0.002078020086628385,0.12653533
1048576,64,219,400.0,4780,519.5817260742188,0.2,630,-0.024018652737140656,7.433017522096634,0.0036986408864322583,0.16977782547473907,0.9869720935821533,0.0003,0.62572021484375,-0.006475045188562944,0.12571093
1064960,65,222,400.0,4783,547.2892456054688,0.2,640,-3.198219928890467e-05,7.459607610106469,0.003145133082944085,0.169671893119812,0.9892895817756653,0.0003,0.62806396484375,-0.0055007125236443246,0.12939289
1081344,66,225,400.0,4785,553.8709106445312,0.2,650,-0.020568983629345894,7.479054901003837,0.003549664988531731,0.16949279606342316,0.986500084400177,0.0003,0.627886962890625,-0.005201615896658041,0.12669858
1097728,67,229,400.0,4788,548.6600952148438,0.2,660,-0.04495638981461525,7.529927539825439,0.002667507252044743,0.16897469758987427,0.9889011383056641,0.0003,0.630438232421875,-0.004367150401958497,0.13487567
1114112,68,232,400.0,4789,551.8167724609375,0.2,670,-0.007787831127643585,7.58131140768528,0.003073376755855861,0.16861364245414734,0.9896446466445923,0.0003,0.62413330078125,-0.006474115540186176,0.12804428
1130496,69,235,400.0,4792,549.8447265625,0.2,680,-0.026261480525135994,7.616811135411263,0.0030141054885461926,0.16829201579093933,0.9874023795127869,0.0003,0.632183837890625,-0.001098441955400631,0.12569615
1146880,70,239,400.0,4794,551.9227905273438,0.2,690,-0.033438291400671005,7.6552184373140335,0.004071428066163207,0.1679428666830063,0.9848246574401855,0.0003,0.641455078125,-0.00607032838415762,0.1389787
1163264,71,242,400.0,4795,540.1948852539062,0.2,700,-0.0167681947350502,7.68871645629406,0.0030780281329498395,0.16777846217155457,0.9884440302848816,0.0003,0.631842041015625,-0.004240147286327556,0.13092564
1179648,72,245,400.0,4797,543.1034545898438,0.2,710,-0.02604788728058338,7.7038669168949125,0.0035474866490403656,0.16768380999565125,0.9860017895698547,0.0003,0.643133544921875,-0.004158000311872456,0.13035312
1196032,73,249,400.0,4799,546.9913940429688,0.2,720,-0.005911367479711771,7.738792933523655,0.0036471831110247875,0.16737353801727295,0.9840601086616516,0.0003,0.63294677734375,-0.004570864793640795,0.12648569
1212416,74,252,400.0,4806,566.8759765625,0.2,730,-0.01614226959645748,7.788123704493046,0.0029828150112734876,0.1669139564037323,0.9874823093414307,0.0003,0.632623291015625,0.002826942234241869,0.12879944
1228800,75,255,400.0,4809,575.5263061523438,0.2,740,-0.023422352969646454,7.842318165302276,0.002125970298584434,0.16644355654716492,0.9870828986167908,0.0003,0.637115478515625,-0.0046630421275040135,0.13031235
1245184,76,258,400.0,4813,572.801513671875,0.2,750,-0.013448853977024555,7.875515612959862,0.002443073918038863,0.16635310649871826,0.9871318936347961,0.0003,0.630987548828125,-0.00044064173562219366,0.12445073
1261568,77,261,400.0,4817,563.6595458984375,0.2,760,-0.02100028283894062,7.906724461913109,0.0024227712572610473,0.16598716378211975,0.9842257499694824,0.0003,0.637384033203125,-0.002574609307339415,0.13038632
1277952,78,265,400.0,4821,574.6782836914062,0.2,770,-0.0020674504339694977,7.953473174571991,0.0026331789722462418,0.1656872034072876,0.9880086779594421,0.0003,0.64034423828125,-0.004080382867687149,0.13343494
1294336,79,268,400.0,4824,559.4491577148438,0.2,780,-0.02258184365928173,8.002980701625347,0.0029119500930391952,0.16532866656780243,0.9877387881278992,0.0003,0.63406982421875,-0.002009655025904067,0.13198093
1310720,80,271,400.0,4827,553.5988159179688,0.2,790,-0.0216659065335989,8.05369791686535,0.003307155831498676,0.16470082104206085,0.9842008352279663,0.0003,0.648455810546875,-0.0034638378296222073,0.13434279
1327104,81,274,400.0,4830,546.73974609375,0.2,800,-0.01064440980553627,8.120648685097695,0.0028783003195712808,0.16434040665626526,0.9849228858947754,0.0003,0.651495361328125,-0.0012896789776277728,0.13432595
1343488,82,278,400.0,4832,550.2030639648438,0.2,810,-0.024555375799536705,8.173587974905967,0.002499308712867787,0.16386915743350983,0.989742636680603,0.0003,0.644464111328125,-0.005428671088156989,0.1388441
1359872,83,281,400.0,4835,560.8545532226562,0.2,820,-0.007573612965643406,8.218149662017822,0.003157850805291673,0.16363279521465302,0.9857707023620605,0.0003,0.65367431640625,-0.00023071530449669808,0.14081843
1376256,84,284,400.0,4840,569.4757080078125,0.2,830,-0.02622995898127556,8.263246992230416,0.0028661626758548662,0.1631736159324646,0.9876651167869568,0.0003,0.641192626953125,-0.0012417588804964907,0.13291542
1392640,85,287,400.0,4843,567.7589721679688,0.2,840,0.001237715594470501,8.294424721598626,0.0031494197100983,0.16302646696567535,0.9838747978210449,0.0003,0.640850830078125,-0.0025045009148016105,0.14781038
1409024,86,290,400.0,4846,572.9139404296875,0.2,850,-0.023699717596173286,8.319743078947067,0.0021977604352287016,0.16287016868591309,0.9902489185333252,0.0003,0.649627685546875,-0.0003045920930162538,0.1452513
1425408,87,293,400.0,4849,565.462158203125,0.2,860,-0.019686859101057053,8.355991980433464,0.0027125941272970523,0.16241705417633057,0.9878950715065002,0.0003,0.639825439453125,-0.004096857726108283,0.1361787
1441792,88,297,400.0,4852,555.4725341796875,0.2,870,-0.01857648231089115,8.405975779891014,0.003277805642574094,0.16203320026397705,0.9833446145057678,0.0003,0.6720947265625,0.001447991123131942,0.16511366
1458176,89,300,400.0,4855,542.3707885742188,0.2,880,-0.02008705958724022,8.457913008332252,0.002469591706903884,0.16174310445785522,0.9897352457046509,0.0003,0.65902099609375,-0.0034603387815877796,0.14458731
1474560,90,303,400.0,4859,554.401611328125,0.2,890,-0.02262987196445465,8.499328166246414,0.0031364767350169132,0.1614021211862564,0.9865413904190063,0.0003,0.653729248046875,0.00016194983982131816,0.14546704
1490944,91,306,400.0,4863,573.9686279296875,0.2,900,-0.041414957493543625,8.529904291033745,0.0023563897011626977,0.1612781286239624,0.9908735156059265,0.0003,0.644183349609375,-0.0038069144677137954,0.13459434
1507328,92,309,400.0,4866,576.8125,0.2,910,-0.005776305682957172,8.552618309855461,0.0032835676618560685,0.1610158532857895,0.9875600337982178,0.0003,0.6399658203125,-0.0009509572555543855,0.13665816
1523712,93,312,400.0,4869,553.9085693359375,0.2,920,-0.00030420825351029634,8.560268333554268,0.004309230239596218,0.16107824444770813,0.9824765920639038,0.0003,0.661041259765625,0.001476382567489054,0.14745417
1540096,94,316,400.0,4872,547.2822265625,0.2,930,-0.02543449029326439,8.553745663166046,0.0026683420121116795,0.16108915209770203,0.9882749319076538,0.0003,0.664459228515625,-0.0025212343272869473,0.16014664
1556480,95,319,400.0,4875,566.3239135742188,0.2,940,-0.01680930145084858,8.589693734049797,0.002512923707763548,0.1606360822916031,0.989712655544281,0.0003,0.647991943359375,-0.0047354660797282126,0.13884321
1572864,96,322,400.0,4878,564.779052734375,0.2,950,-0.0015894516836851835,8.638737440109253,0.00267917940946063,0.1603621542453766,0.9899970889091492,0.0003,0.657965087890625,0.00022959096095291897,0.14917383
1589248,97,325,400.0,4881,566.38427734375,0.2,960,-0.013346677646040916,8.667097958922387,0.0035111398014123552,0.1601523905992508,0.9860576391220093,0.0003,0.664874267578125,-0.0013494991391780787,0.15676495
1605632,98,328,400.0,4886,567.489013671875,0.2,970,-0.012060289271175861,8.694996863603592,0.002595873757672962,0.16003768146038055,0.9854205846786499,0.0003,0.66119384765625,-5.5235743639059363e-05,0.14496924
1622016,99,331,400.0,4890,570.09765625,0.2,980,-0.02107285149395466,8.736979219317437,0.0030068834246776534,0.15954279899597168,0.985414445400238,0.0003,0.659075927734375,-0.0030032835697056726,0.15981025
1638400,100,334,400.0,4891,572.767333984375,0.2,990,-0.022749152034521103,8.796411091089249,0.002996114713823772,0.15904474258422852,0.988016664981842,0.0003,0.6679443359375,-0.001963950255594682,0.16361856
1654784,101,338,400.0,4894,573.2095947265625,0.2,1000,-0.023459091782569885,8.839792510867118,0.0035284456665976905,0.15874725580215454,0.9869346022605896,0.0003,0.66522216796875,-0.004566438605979784,0.16383877
1671168,102,341,400.0,4897,574.7203369140625,0.2,1010,-0.02507271058857441,8.84798855483532,0.004212745097902371,0.15888969600200653,0.9850148558616638,0.0003,0.661474609375,0.0010083091739943484,0.15414289
1687552,103,344,400.0,4900,581.002197265625,0.2,1020,-0.014109021984040737,8.849493402242661,0.0022669674617645796,0.158739373087883,0.9859836101531982,0.0003,0.66566162109375,0.003089700252894545,0.15734822
1703936,104,347,400.0,4901,562.5161743164062,0.2,1030,-0.002769229467958212,8.876531857252122,0.0031803098583623067,0.15849678218364716,0.9890912175178528,0.0003,0.659613037109375,-0.0035018178139580415,0.16640735
1720320,105,350,400.0,4904,546.9971923828125,0.2,1040,0.005650451872497797,8.895688536763192,0.0035292791057145224,0.15839910507202148,0.9890270233154297,0.0003,0.6599365234375,0.0014498245363938622,0.15751188
1736704,106,353,400.0,4907,543.930419921875,0.2,1050,-0.02526177279651165,8.926359808444976,0.0033325926207908195,0.15810978412628174,0.9845009446144104,0.0003,0.672149658203125,-0.002877055885619484,0.16753699
1753088,107,357,400.0,4908,556.522705078125,0.2,1060,-0.018992524594068527,8.95467705130577,0.0036953426231775667,0.1579679399728775,0.9850285649299622,0.0003,0.6686767578125,-0.00578902324923547,0.16588117
1769472,108,360,400.0,4910,547.740478515625,0.2,1070,-0.006287872791290283,8.967244362831115,0.0032650934532284736,0.1578964740037918,0.9892831444740295,0.0003,0.6733642578125,0.002352420338138472,0.16939712
